date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:01	22457/22457	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2023:20:02%20GMT	http://sacheefragrances.com/wp-content/themes/sacheefragranees/images/img-thing.jpg	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/themes/sacheefragranees/images/img-thing.jpg	(from http://sacheefragrances.com/wp-content/themes/sacheefragranees/style.css?ver=4.7.11)
14:11:02	26294/26294	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Aug%202018%2008:41:08%20GMT	http://sacheefragrances.com/wp-content/themes/sacheefragranees/js/mCSB_buttons.png	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/themes/sacheefragranees/js/mCSB_buttons.png	(from http://sacheefragrances.com/wp-content/themes/sacheefragranees/js/jquery.mCustomScrollbar.css)
14:11:03	10056/10056	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20May%202017%2023:20:06%20GMT	http://sacheefragrances.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://sacheefragrances.com/)
14:11:04	5379/5379	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2023:19:52%20GMT	http://sacheefragrances.com/wp-content/uploads/2017/04/logo.jpg	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/uploads/2017/04/logo.jpg	(from http://sacheefragrances.com/)
14:11:05	2343/2343	---MC-	200	added ('OK')	application/json	date:Sat,%2011%20Aug%202018%2008:41:10%20GMT	http://sacheefragrances.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsacheefragrances.com%2Fabout-us%2F	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-json/oembed/1.0/embed0371.json	(from http://sacheefragrances.com/about-us/)
14:11:05	165548/165548	---M--	200	added ('OK')	font/ttf	date:Wed,%2010%20May%202017%2023:19:48%20GMT	http://sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from http://sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/css/font-awesome.min.css?ver=4.7)
14:11:05	721/721	---MC-	200	added ('OK')	application/rss+xml	etag:%2288556f11a6c4b62a0868c1fb5e0d2d38%22	http://sacheefragrances.com/about-us/feed/	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/about-us/feed/index.html	(from http://sacheefragrances.com/about-us/)
14:11:05	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2011%20Aug%202018%2008:41:11%20GMT	http://sacheefragrances.com/?p=2	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/index905b.html	(from http://sacheefragrances.com/about-us/)
14:11:06	2478/2478	---MC-	200	added ('OK')	text/xml	date:Sat,%2011%20Aug%202018%2008:41:11%20GMT	http://sacheefragrances.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsacheefragrances.com%2Fabout-us%2F&format=xml	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-json/oembed/1.0/embed0bf8	(from http://sacheefragrances.com/about-us/)
14:11:09	2373/2373	---MC-	200	added ('OK')	application/json	date:Sat,%2011%20Aug%202018%2008:41:14%20GMT	http://sacheefragrances.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsacheefragrances.com%2Fabout-us%2Fmanagement%2F	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-json/oembed/1.0/embed1dcd.json	(from http://sacheefragrances.com/about-us/management/)
14:11:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2011%20Aug%202018%2008:41:14%20GMT	http://sacheefragrances.com/?p=6	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/index42dc.html	(from http://sacheefragrances.com/about-us/management/)
14:11:09	734/734	---MC-	200	added ('OK')	application/rss+xml	etag:%2288556f11a6c4b62a0868c1fb5e0d2d38%22	http://sacheefragrances.com/about-us/management/feed/	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/about-us/management/feed/index.html	(from http://sacheefragrances.com/about-us/management/)
14:11:10	2506/2506	---MC-	200	added ('OK')	text/xml	date:Sat,%2011%20Aug%202018%2008:41:15%20GMT	http://sacheefragrances.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsacheefragrances.com%2Fabout-us%2Fmanagement%2F&format=xml	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-json/oembed/1.0/embed87b9	(from http://sacheefragrances.com/about-us/management/)
14:11:12	4102/4102	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2023:19:52%20GMT	http://sacheefragrances.com/wp-content/uploads/2014/09/Photo-1.jpg	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/uploads/2014/09/Photo-1.jpg	(from http://sacheefragrances.com/about-us/management/)
14:11:13	5440/5440	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2023:19:52%20GMT	http://sacheefragrances.com/wp-content/uploads/2014/09/Photo-1-150x150.jpg	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/uploads/2014/09/Photo-1-150x150.jpg	(from http://sacheefragrances.com/about-us/management/)
